key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_7.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
j,0,28,28,23,1,61311fd128819c143e3409f9,ORORRRO,ORORRRR,22.1285618,21.9921709,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.601,,,,,,,,
j,0,29,29,50,1,61311fd128819c143e3409f9,RROOROO,RROOROR,21.73568164,22.02566557,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.415,,,,,,,,
j,0,30,30,31,1,61311fd128819c143e3409f9,ORRRRRO,ORRRRRR,22.16413392,20.74050628,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.433,,,,,,,,
j,0,31,31,45,1,61311fd128819c143e3409f9,RORRORO,RORRORR,20.78182524,21.22513037,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.197,,,,,,,,
f,0,32,32,22,1,61311fd128819c143e3409f9,ORORROO,ORORROR,22.02732763,21.57657071,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,4.327,,,,,,,,
f,0,33,33,20,1,61311fd128819c143e3409f9,OROROOO,OROROOR,21.31236711,21.90565814,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.825,,,,,,,,
j,0,34,34,62,1,61311fd128819c143e3409f9,RRRRROO,RRRRROR,22.16413392,21.27974287,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.726,,,,,,,,
j,0,35,35,15,1,61311fd128819c143e3409f9,OORRRRO,OORRRRR,22.10108823,21.74922619,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.999,,,,,,,,
f,0,36,36,13,1,61311fd128819c143e3409f9,OORRORO,OORRORR,21.66733484,22.11181017,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.943,,,,,,,,
j,0,37,37,18,1,61311fd128819c143e3409f9,OROOROO,OROOROR,20.84860893,21.22513037,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.294,,,,,,,,
f,0,38,38,42,1,61311fd128819c143e3409f9,ROROROO,ROROROR,20.39515459,19.8361834,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.347,,,,,,,,
j,0,39,39,5,1,61311fd128819c143e3409f9,OOORORO,OOORORR,20.87963819,21.9921709,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.298,,,,,,,,
j,0,40,40,16,1,61311fd128819c143e3409f9,OROOOOO,OROOOOR,20.43051175,21.17347734,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.494,,,,,,,,
f,0,41,41,3,1,61311fd128819c143e3409f9,OOOORRO,OOOORRR,20.90986523,21.74922619,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.472,,,,,,,,
j,0,42,42,35,1,61311fd128819c143e3409f9,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.855,,,,,,,,
j,0,43,43,43,1,61311fd128819c143e3409f9,RORORRO,RORORRR,20.71309134,21.07490964,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,4.01,,,,,,,,
f,0,44,44,58,1,61311fd128819c143e3409f9,RRROROO,RRROROR,22.1285618,21.37121559,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.074,,,,,,,,
j,0,45,45,63,1,61311fd128819c143e3409f9,RRRRRRO,RRRRRRR,21.35278725,19.62521613,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.926,,,,,,,,
f,0,46,46,54,1,61311fd128819c143e3409f9,RRORROO,RRORROR,21.55250791,20.9984461,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.839,,,,,,,,
f,0,47,47,36,1,61311fd128819c143e3409f9,ROOROOO,ROOROOR,21.07991943,20.9984461,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.198,,,,,,,,
j,0,48,48,11,1,61311fd128819c143e3409f9,OORORRO,OORORRR,22.18365867,22.6797523,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.985,,,,,,,,
j,0,49,49,9,1,61311fd128819c143e3409f9,OOROORO,OOROORR,21.07991943,22.2428857,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.701,,,,,,,,
j,0,50,50,2,1,61311fd128819c143e3409f9,OOOOROO,OOOOROR,20.43051175,21.02936224,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,0.435,,,,,,,,
