key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison,key_resp_7.rt
"[""comma""]",0,[0.21750000000000114],33,0,33,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.24369999980928014],34,0,34,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.24160000038148155],35,0,35,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.23679999923706418],36,0,36,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.2410999994277745],37,0,37,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.27600000000001046],38,0,38,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.33730000019073714],39,0,39,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.3370000000000175],40,0,40,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.24409999942781724],41,0,41,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.28950000000000387],42,0,42,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.24380000019073123],43,0,43,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.27570000076295287],44,0,44,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.3355999994278136],45,0,45,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.34970000076296515],46,0,46,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.5223999996185285],47,0,47,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.5498999996185319],48,0,48,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.45869999980928355],49,0,49,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.3009999999999877],50,0,50,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
