key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0,33,33,50,1,5f19902fd2b95f025c1b0ff3,RROOROO,RROOROR,21.73568164,22.02566557,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,34,34,59,1,5f19902fd2b95f025c1b0ff3,RRRORRO,RRRORRR,21.56657303,20.89823192,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,35,35,19,1,5f19902fd2b95f025c1b0ff3,OROORRO,OROORRR,21.73568164,22.11181017,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,36,36,38,1,5f19902fd2b95f025c1b0ff3,ROORROO,ROORROR,21.79500819,21.36812781,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,37,37,3,1,5f19902fd2b95f025c1b0ff3,OOOORRO,OOOORRR,20.90986523,21.74922619,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,38,38,30,1,5f19902fd2b95f025c1b0ff3,ORRRROO,ORRRROR,22.46748491,22.03072203,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,39,39,44,1,5f19902fd2b95f025c1b0ff3,RORROOO,RORROOR,21.66733484,22.02566557,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,40,40,62,1,5f19902fd2b95f025c1b0ff3,RRRRROO,RRRRROR,22.16413392,21.27974287,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,41,41,22,1,5f19902fd2b95f025c1b0ff3,ORORROO,ORORROR,22.02732763,21.57657071,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,42,42,45,1,5f19902fd2b95f025c1b0ff3,RORRORO,RORRORR,20.78182524,21.22513037,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
